"virus","animal","cors","corsCI1","corsCI2","pval","commonName"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"European hedgehog papillomavirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Hedgehog bocavirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Hedgehog chapparvovirus 6","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Hedgehog dicipivirus 2","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Lucheng Rn rat coronavirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Lupine bocavirus isolate South Douro","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Marmot kobuvirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Myocastor coypus polyomavirus 1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Raccoon dog amdovirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Rodent papillomavirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Skunk adenovirus PB1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"SARS-CoV-2","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Human adenovirus type 1","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Human astrovirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Human herpesvirus 1","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Human herpesvirus 4","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Human orthopneumovirus B","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Human papillomavirus 1","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Human papillomavirus type 41","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Influenza A virus H3N2","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Influenza A virus H5N1","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Influenza A virus H7N9, segment 1","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Influenza A virus H7N9, segment 2","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Influenza A virus H7N9, segment 3","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Influenza A virus H7N9, segment 5","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Influenza A virus H9N2 (HA)","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Influenza A virus H9N2 segment 5","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Parvovirus NIH-CQV","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Bamboo rat circovirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Bamboo rat coronavirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Betacoronavirus HKU24","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Cadicivirus B","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Canine coronavirus HeB-G1","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Canine coronavirus SD-F3","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Canine kobuvirus JX-MO1","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Canine kobuvirus SMCD-59","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Canine parvovirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Civet astrovirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Civet kobuvirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"European hedgehog papillomavirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Hedgehog bocavirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Hedgehog chapparvovirus 6","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Hedgehog dicipivirus 2","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Lucheng Rn rat coronavirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Lupine bocavirus isolate South Douro","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Marmot kobuvirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Myocastor coypus polyomavirus 1","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Raccoon dog amdovirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Rodent papillomavirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Skunk adenovirus PB1","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"SARS-CoV-2","Channa.argus",NA,NA,NA,NA,"Northern snakehead"
"Human adenovirus type 1","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine"
"Human astrovirus","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine"
"Human herpesvirus 1","Hystrix.brachyura",0.00217900585810282,-0.232914270191239,0.23703166499739,0.985716533514824,"Malayan porcupine"
"Human herpesvirus 4","Hystrix.brachyura",-0.066658597782518,-0.296980994608694,0.170993704919636,0.583503525688996,"Malayan porcupine"
"Human orthopneumovirus B","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine"
"Human papillomavirus 1","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine"
"Human papillomavirus type 41","Hystrix.brachyura",-0.0737855022531221,-0.303497581129936,0.164032461112278,0.543819955262665,"Malayan porcupine"
"Influenza A virus H3N2","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine"
"Influenza A virus H5N1","Hystrix.brachyura",-0.0468332960921443,-0.278739894505955,0.190234178120592,0.700243661162154,"Malayan porcupine"
"Influenza A virus H7N9, segment 1","Hystrix.brachyura",-0.00600733429390965,-0.240641673995601,0.229290346173976,0.960635265309041,"Malayan porcupine"
"Influenza A virus H7N9, segment 2","Hystrix.brachyura",-0.0654972612173635,-0.295917073296246,0.172125803219922,0.590092857117405,"Malayan porcupine"
"Influenza A virus H7N9, segment 3","Hystrix.brachyura",-0.0468332960921443,-0.278739894505955,0.190234178120592,0.700243661162154,"Malayan porcupine"
"Influenza A virus H7N9, segment 5","Hystrix.brachyura",-0.0666022402366178,-0.296929377646146,0.171048658076989,0.583822518604659,"Malayan porcupine"
"Influenza A virus H9N2 (HA)","Hystrix.brachyura",-0.0468332960921443,-0.278739894505955,0.190234178120592,0.700243661162154,"Malayan porcupine"
"Influenza A virus H9N2 segment 5","Hystrix.brachyura",-0.0468332960921443,-0.278739894505955,0.190234178120592,0.700243661162154,"Malayan porcupine"
"Parvovirus NIH-CQV","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine"
"Bamboo rat circovirus","Hystrix.brachyura",-0.0450639180170256,-0.277103729841338,0.191942554578844,0.711061116961034,"Malayan porcupine"
"Bamboo rat coronavirus","Hystrix.brachyura",0.263364221803672,0.0302629872865816,0.469296420914219,0.0276063132541396,"Malayan porcupine"
"Betacoronavirus HKU24","Hystrix.brachyura",0.245166674157661,0.0108157224600703,0.453987476354634,0.0407945977937434,"Malayan porcupine"
"Cadicivirus B","Hystrix.brachyura",0.156064402968688,-0.0819134743011335,0.37720587757067,0.197002231446865,"Malayan porcupine"
"Canine coronavirus HeB-G1","Hystrix.brachyura",0.281742388893756,0.0500840378195679,0.484632688411843,0.0181342537870328,"Malayan porcupine"
"Canine coronavirus SD-F3","Hystrix.brachyura",0.0951098312138431,-0.143061374628984,0.322868282868949,0.433512153633019,"Malayan porcupine"
"Canine kobuvirus JX-MO1","Hystrix.brachyura",0.151683961790772,-0.0863683837171053,0.373351082387734,0.210025230651852,"Malayan porcupine"
"Canine kobuvirus SMCD-59","Hystrix.brachyura",0.164236609098964,-0.0735768412095713,0.38437700827977,0.174271437737926,"Malayan porcupine"
"Canine parvovirus","Hystrix.brachyura",0.124386737171647,-0.113916805221616,0.349155755953861,0.304916709963358,"Malayan porcupine"
"Civet astrovirus","Hystrix.brachyura",-0.0899773541644922,-0.318223388512029,0.148128449663074,0.458842477581911,"Malayan porcupine"
"Civet kobuvirus","Hystrix.brachyura",0.0825425338894671,-0.155446425790731,0.311475381165724,0.496931158224643,"Malayan porcupine"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Hystrix.brachyura",0.100473099442553,-0.137753075099446,0.327710348971625,0.407908735489235,"Malayan porcupine"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Hystrix.brachyura",0.0906406089485539,-0.147474349193869,0.318824251634728,0.455524194523684,"Malayan porcupine"
"European hedgehog papillomavirus","Hystrix.brachyura",-0.133690344902445,-0.357435959827481,0.104568568469338,0.269872817862642,"Malayan porcupine"
"Hedgehog bocavirus","Hystrix.brachyura",0.0926530453461738,-0.145488413100892,0.320646258502768,0.445537187670238,"Malayan porcupine"
"Hedgehog chapparvovirus 6","Hystrix.brachyura",-0.090325349685893,-0.318538671338876,0.147785283188007,0.457099796567815,"Malayan porcupine"
"Hedgehog dicipivirus 2","Hystrix.brachyura",-0.0184070881253781,-0.252289908627646,0.217507695111391,0.879782798195895,"Malayan porcupine"
"Lucheng Rn rat coronavirus","Hystrix.brachyura",-0.0661306629740018,-0.296497414918114,0.17150842603924,0.586494829667032,"Malayan porcupine"
"Lupine bocavirus isolate South Douro","Hystrix.brachyura",0.177452089629432,-0.0600247624166298,0.395917677913797,0.141662113771376,"Malayan porcupine"
"Marmot kobuvirus","Hystrix.brachyura",0.353906410003594,0.129719726765579,0.543669520019663,0.00265057391428349,"Malayan porcupine"
"Myocastor coypus polyomavirus 1","Hystrix.brachyura",0.336738398808422,0.110508323460769,0.529792692455428,0.00436670340096347,"Malayan porcupine"
"Raccoon dog amdovirus","Hystrix.brachyura",0.110301404361559,-0.127989853803206,0.33655266595409,0.363345333064149,"Malayan porcupine"
"Rodent papillomavirus","Hystrix.brachyura",0.306460112604854,0.0770332693871559,0.505064365879335,0.00987231580757082,"Malayan porcupine"
"Skunk adenovirus PB1","Hystrix.brachyura",0.0414897220165711,-0.195389149808895,0.273794519045116,0.733085107863211,"Malayan porcupine"
"SARS-CoV-2","Hystrix.brachyura",0.396285491356185,0.177874580664643,0.577485878495221,0.000683671123012691,"Malayan porcupine"
"Human adenovirus type 1","Capra.hircus",NA,NA,NA,NA,"Goat"
"Human astrovirus","Capra.hircus",NA,NA,NA,NA,"Goat"
"Human herpesvirus 1","Capra.hircus",-0.0421803698425446,-0.274434392349373,0.194723614257168,0.72881194826571,"Goat"
"Human herpesvirus 4","Capra.hircus",-0.0289738176466833,-0.262163008787616,0.207412286458254,0.81180546513438,"Goat"
"Human orthopneumovirus B","Capra.hircus",NA,NA,NA,NA,"Goat"
"Human papillomavirus 1","Capra.hircus",NA,NA,NA,NA,"Goat"
"Human papillomavirus type 41","Capra.hircus",0.191683803070215,-0.0453320044490687,0.408269093235106,0.11191495462858,"Goat"
"Influenza A virus H3N2","Capra.hircus",NA,NA,NA,NA,"Goat"
"Influenza A virus H5N1","Capra.hircus",-0.0203565545317065,-0.254115077336866,0.215648972560652,0.867160906889873,"Goat"
"Influenza A virus H7N9, segment 1","Capra.hircus",-0.0353489001290627,-0.268096095991955,0.201297110074665,0.771421717633029,"Goat"
"Influenza A virus H7N9, segment 2","Capra.hircus",-0.02846903124276,-0.261692465671655,0.207895705161141,0.815025628182152,"Goat"
"Influenza A virus H7N9, segment 3","Capra.hircus",-0.0203565545317065,-0.254115077336866,0.215648972560652,0.867160906889873,"Goat"
"Influenza A virus H7N9, segment 5","Capra.hircus",-0.0289493212829397,-0.2621401767478,0.207435748552091,0.811961662401402,"Goat"
"Influenza A virus H9N2 (HA)","Capra.hircus",-0.0203565545317065,-0.254115077336866,0.215648972560652,0.867160906889873,"Goat"
"Influenza A virus H9N2 segment 5","Capra.hircus",-0.0203565545317065,-0.254115077336866,0.215648972560652,0.867160906889873,"Goat"
"Parvovirus NIH-CQV","Capra.hircus",NA,NA,NA,NA,"Goat"
"Bamboo rat circovirus","Capra.hircus",0.593936985265933,0.41718523584111,0.727395819457421,5.96769917535748e-08,"Goat"
"Bamboo rat coronavirus","Capra.hircus",0.349584016403284,0.124866961841355,0.54018549344071,0.00301337260814688,"Goat"
"Betacoronavirus HKU24","Capra.hircus",-0.0203565545317065,-0.254115077336866,0.215648972560652,0.867160906889873,"Goat"
"Cadicivirus B","Capra.hircus",-0.0626886510147842,-0.293341689622819,0.174861110560195,0.606165518350587,"Goat"
"Canine coronavirus HeB-G1","Capra.hircus",0.066841274186286,-0.170815570513039,0.297148295713146,0.582470093685862,"Goat"
"Canine coronavirus SD-F3","Capra.hircus",-0.0545854556081207,-0.285892572249335,0.182732320779051,0.653571286905681,"Goat"
"Canine kobuvirus JX-MO1","Capra.hircus",0.111004580269164,-0.127289559501052,0.33718377263674,0.360275605340786,"Goat"
"Canine kobuvirus SMCD-59","Capra.hircus",0.097862728795755,-0.140338402355135,0.32535514419106,0.420258464282893,"Goat"
"Canine parvovirus","Capra.hircus",0.119831342910023,-0.118478713826304,0.34508861722488,0.323106142264838,"Goat"
"Civet astrovirus","Capra.hircus",-0.0391095453342518,-0.271587749684116,0.197681111814075,0.747873008770521,"Goat"
"Civet kobuvirus","Capra.hircus",-0.0719925319129975,-0.301860173758011,0.165785987650495,0.553678749667196,"Goat"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Capra.hircus",-0.0370108407968005,-0.269639915719275,0.19969988814356,0.760988022824518,"Goat"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Capra.hircus",-0.0425395329742281,-0.27476706952712,0.19437742422469,0.726592985178322,"Goat"
"European hedgehog papillomavirus","Capra.hircus",0.16074693988467,-0.077140794096654,0.381318061700387,0.183731612432518,"Goat"
"Hedgehog bocavirus","Capra.hircus",0.0701257290772176,-0.167610126085343,0.300153897489183,0.564033595417885,"Goat"
"Hedgehog chapparvovirus 6","Capra.hircus",0.214916538351649,-0.021124253987929,0.428263345303853,0.073988265565792,"Goat"
"Hedgehog dicipivirus 2","Capra.hircus",0.146868886090899,-0.0912543574747386,0.369104958045573,0.225030434473321,"Goat"
"Lucheng Rn rat coronavirus","Capra.hircus",-0.02874434556986,-0.261949117195266,0.207632059253216,0.813268944473077,"Goat"
"Lupine bocavirus isolate South Douro","Capra.hircus",0.167858490349141,-0.0698714270114873,0.387546744297583,0.164834211291803,"Goat"
"Marmot kobuvirus","Capra.hircus",0.189365463911407,-0.0477324595892073,0.406262446148564,0.116401076128766,"Goat"
"Myocastor coypus polyomavirus 1","Capra.hircus",-0.0548718279861992,-0.286156306451563,0.182454664523326,0.65187093886179,"Goat"
"Raccoon dog amdovirus","Capra.hircus",0.106810692970546,-0.131462746270707,0.333416709392748,0.378819754148604,"Goat"
"Rodent papillomavirus","Capra.hircus",-0.0640749047773646,-0.294613247635772,0.173511495215401,0.598208526980151,"Goat"
"Skunk adenovirus PB1","Capra.hircus",-0.171455210581164,-0.390689327990428,0.0661852507227621,0.155840284943896,"Goat"
"SARS-CoV-2","Capra.hircus",-0.0482859127487918,-0.280082140623731,0.188830568293054,0.691406904307377,"Goat"
"Human adenovirus type 1","Accipiter.gularis",NA,NA,NA,NA,"Japanese sparrowhawk"
