address,keep,Virus_full_name,Virus_simpler_name,Virus_shorter,Host_general,read_count,Reference,Sample.ID,Lab.code,nDetect,viral_length,covered_bases,Sampling.date
West|8|25,1,"NC_009334.1 Human herpesvirus 4, complete genome",Human herpesvirus 4,Human herpesvirus 4,Human,2,NC_009334.1,Env_0555,HJ200040-20200112-1,1,172764,43,2020-01-12
West|8|36-38,1,"NC_009334.1 Human herpesvirus 4, complete genome",Human herpesvirus 4,Human herpesvirus 4,Human,2,NC_009334.1,Env_0559,HJ200044-20200112-1,1,172764,86,2020-01-12
West|8|25,1,"NC_009334.1 Human herpesvirus 4, complete genome",Human herpesvirus 4,Human herpesvirus 4,Human,1,NC_009334.1,Env_0806,W-8-25-D1,1,172764,43,2020-02-15
West|1|SwO,1,"NC_009334.1 Human herpesvirus 4, complete genome",Human herpesvirus 4,Human herpesvirus 4,Human,1,NC_009334.1,Env_0818,WWS-1#-3,1,172764,43,2020-02-15
West|5|6-8,1,"NC_001781.1 Human orthopneumovirus Subgroup B, complete genome",Human orthopneumovirus B,Human orthopneumovirus B,Human,52,NC_001781.1,Env_0126,B5,1,15225,3161,2020-01-01
West|4|19,1,"NC_001356.1 Human papillomavirus - 1, complete genome",Human papillomavirus 1,Human papillomavirus 1,Human,37,NC_001356.1,Env_0101,A101,1,7815,1139,2020-01-01
West|10|31,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,1,NC_001457.1,Env_0619,10-31-abv2,1,7353,108,2020-01-23
West|10|31,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,18,NC_001457.1,Env_0617,10-31-In2,1,7353,132,2020-01-23
NA,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,11,NC_001457.1,Env_0789,CSSQ-1-2,1,7353,419,2020-02-09
West|9|34-36,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,1,NC_001457.1,Env_0523,HJ200008-20200112-1,1,7353,43,2020-01-12
West|9|35-37,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,2,NC_001457.1,Env_0537,HJ200022-20200112-1,1,7353,86,2020-01-12
West|9|35-37,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,2,NC_001457.1,Env_0541,HJ200026-20200112-1,1,7353,43,2020-01-12
West|8|37,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,1,NC_001457.1,Env_0566,HJ200051-20200112-1,1,7353,43,2020-01-12
West|8|37,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,42,NC_001457.1,Env_0568,HJ200053-20200112-1,1,7353,1445,2020-01-12
West|8|37,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,2,NC_001457.1,Env_0571,HJ200056-20200112-1,1,7353,84,2020-01-12
West|6|29-31-33,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,1,NC_001457.1,Env_0580,HJ200065-20200112-1,1,7353,43,2020-01-12
West|6|29-31-33,1,"NC_001457.1 Human papillomavirus type 4, complete genome",Human papillomavirus type 41,Human papillomavirus type 41,Human,1,NC_001457.1,Env_0581,HJ200066-20200112-1,1,7353,43,2020-01-12
West|5|6-8,1,"NC_007373.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 1, complete sequence",Influenza A virus H3N2,Influenza A virus H3N2,Human,1,NC_007373.1,Env_0126,B5,1,2341,93,2020-01-01
West|9|38,1,"NC_007358.1 Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",Influenza A virus H5N1,Influenza A virus H5N1,Human,2,NC_007358.1,Env_0529,HJ200014-20200112-1,1,2341,43,2020-01-12
West|9|38,1,"NC_026422.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds","Influenza A virus H7N9, segment 1","Influenza A virus H7N9, segment 1",Human,1,NC_026422.1,Env_0527,HJ200012-20200112-1,1,2280,43,2020-01-12
West|9|38,1,"NC_026422.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds","Influenza A virus H7N9, segment 1","Influenza A virus H7N9, segment 1",Human,22,NC_026422.1,Env_0529,HJ200014-20200112-1,1,2280,567,2020-01-12
West|9|38,1,"NC_026422.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds","Influenza A virus H7N9, segment 1","Influenza A virus H7N9, segment 1",Human,1,NC_026422.1,Env_0533,HJ200018-20200112-1,1,2280,43,2020-01-12
West|8|37,1,"NC_026422.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds","Influenza A virus H7N9, segment 1","Influenza A virus H7N9, segment 1",Human,1,NC_026422.1,Env_0575,HJ200060-20200112-1,1,2280,43,2020-01-12
West|9|38,1,"NC_026423.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds","Influenza A virus H7N9, segment 2","Influenza A virus H7N9, segment 2",Human,18,NC_026423.1,Env_0529,HJ200014-20200112-1,1,2297,466,2020-01-12
West|9|38,1,"NC_026423.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds","Influenza A virus H7N9, segment 2","Influenza A virus H7N9, segment 2",Human,3,NC_026423.1,Env_0533,HJ200018-20200112-1,1,2297,115,2020-01-12
West|9|38,1,"NC_026424.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds","Influenza A virus H7N9, segment 3","Influenza A virus H7N9, segment 3",Human,6,NC_026424.1,Env_0529,HJ200014-20200112-1,1,2176,228,2020-01-12
West|9|38,1,"NC_026426.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 5 nucleocapsid protein (NP) gene, complete cds","Influenza A virus H7N9, segment 5","Influenza A virus H7N9, segment 5",Human,1,NC_026426.1,Env_0529,HJ200014-20200112-1,1,1506,43,2020-01-12
West|9|38,1,"NC_026426.1 Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 5 nucleocapsid protein (NP) gene, complete cds","Influenza A virus H7N9, segment 5","Influenza A virus H7N9, segment 5",Human,1,NC_026426.1,Env_0533,HJ200018-20200112-1,1,1506,43,2020-01-12
West|9|38,1,"NC_004908.1 Influenza A virus ha gene for Hemagglutinin, genomic RNA, strain A/Hong Kong/1073/99(H9N2)",Influenza A virus H9N2 (HA),Influenza A virus H9N2 (HA),Human,1,NC_004908.1,Env_0529,HJ200014-20200112-1,1,1714,43,2020-01-12
West|8|36-38,1,"NC_004905.2 Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 5, complete sequence",Influenza A virus H9N2 segment 5,Influenza A virus H9N2 segment 5,Human,1,NC_004905.2,Env_0561,HJ200046-20200112-1,1,1557,43,2020-01-12
West|4|19,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,63,NC_022089.1,Env_0101,A101,1,3780,1516,2020-01-01
West|7|15-17,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,3,NC_022089.1,Env_0002,A2,1,3780,341,2020-01-01
West|7|25,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,2,NC_022089.1,Env_0055,A55,1,3780,241,2020-01-01
West|7|20-22-24,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,5,NC_022089.1,Env_0061,A61,1,3780,606,2020-01-01
West|4|24,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,1,NC_022089.1,Env_0096,A96,1,3780,98,2020-01-01
West|15|44,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,2,NC_022089.1,Env_0138,B17,1,3780,227,2020-01-01
West|5|6-8,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,4,NC_022089.1,Env_0126,B5,1,3780,210,2020-01-01
West|15|15,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,84,NC_022089.1,Env_0213,D32,1,3780,856,2020-01-01
East|6|1-3,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,1,NC_022089.1,Env_0275,E61,1,3780,141,2020-01-01
West|2|5,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,14,NC_022089.1,Env_0221,E7,1,3780,360,2020-01-01
West|5|Sw3,1,"NC_022089.1 Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds",Parvovirus NIH-CQV,Parvovirus NIH-CQV,Human,6,NC_022089.1,Env_0759,Outside-5,1,3780,284,2020-02-09
West|9|38,1,"NC_055121.1 Bamboo rat circovirus isolate FJ01, complete genome",Bamboo rat circovirus,Bamboo rat circovirus,Mammal,1,NC_055121.1,Env_0529,HJ200014-20200112-1,1,2112,43,2020-01-12
West|9|38,1,"NC_055121.1 Bamboo rat circovirus isolate FJ01, complete genome",Bamboo rat circovirus,Bamboo rat circovirus,Mammal,1,NC_055121.1,Env_0530,HJ200015-20200112-1,1,2112,43,2020-01-12
West|8|36-38,1,"NC_055121.1 Bamboo rat circovirus isolate FJ01, complete genome",Bamboo rat circovirus,Bamboo rat circovirus,Mammal,4,NC_055121.1,Env_0561,HJ200046-20200112-1,1,2112,172,2020-01-12
West|6|29-31-33,1,"NC_055121.1 Bamboo rat circovirus isolate FJ01, complete genome",Bamboo rat circovirus,Bamboo rat circovirus,Mammal,8,NC_055121.1,Env_0577,HJ200062-20200112-1,1,2112,296,2020-01-12
West|6|29-31-33,1,"NC_055121.1 Bamboo rat circovirus isolate FJ01, complete genome",Bamboo rat circovirus,Bamboo rat circovirus,Mammal,57,NC_055121.1,Env_0580,HJ200065-20200112-1,1,2112,1088,2020-01-12
West|6|29-31-33,1,"NC_055121.1 Bamboo rat circovirus isolate FJ01, complete genome",Bamboo rat circovirus,Bamboo rat circovirus,Mammal,1,NC_055121.1,Env_0583,Q68,1,2112,43,2020-01-12
West|6|29,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,711,OQ297694.1,Env_0620,06-29-abv1,1,31168,4029,2020-01-23
West|10|31,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,4,OQ297694.1,Env_0617,10-31-In2,1,31168,93,2020-01-23
West|6|29,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,147,OQ297694.1,Env_0875,629-1-L1,1,31168,1792,2020-02-29
West|6|29,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,9,OQ297694.1,Env_0885,629-11-L,1,31168,549,2020-02-29
West|6|29,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,631,OQ297694.1,Env_0887,629-13-L,1,31168,9362,2020-02-29
West|6|29,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,5,OQ297694.1,Env_0877,629-3-C,1,31168,536,2020-02-29
West|6|29,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,846,OQ297694.1,Env_0879,629-5-L4,1,31168,1849,2020-02-29
West|6|29,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,2,OQ297694.1,Env_0882,629-8-L7,1,31168,186,2020-02-29
West|6|29,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,10,OQ297694.1,Env_0889,629-L-1,1,31168,684,2020-02-29
West|7|15-17,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,4,OQ297694.1,Env_0018,A18,1,31168,517,2020-01-01
West|7|GC,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,7,OQ297694.1,Env_0033,A33,1,31168,1141,2020-01-01
West|7|20-22-24,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,4,OQ297694.1,Env_0061,A61,1,31168,456,2020-01-01
West|4|28,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,32,OQ297694.1,Env_0087,A87,1,31168,934,2020-01-01
West|4|24,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0096,A96,1,31168,186,2020-01-01
West|5|6-8,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0126,B5,1,31168,186,2020-01-01
West|6|29,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0893,CCDC-744,1,31168,93,2020-03-02
West|6|29,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,15,OQ297694.1,Env_0895,CCDC-746,1,31168,1458,2020-03-02
West|9|38,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,7,OQ297694.1,Env_0526,HJ200011-20200112-1,1,31168,301,2020-01-12
West|9|38,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,12,OQ297694.1,Env_0527,HJ200012-20200112-1,1,31168,465,2020-01-12
West|9|38,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,23,OQ297694.1,Env_0532,HJ200017-20200112-1,1,31168,802,2020-01-12
West|9|35-37,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0537,HJ200022-20200112-1,1,31168,43,2020-01-12
West|9|35-37,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0542,HJ200027-20200112-1,1,31168,43,2020-01-12
West|9|35-37,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0544,HJ200029-20200112-1,1,31168,43,2020-01-12
West|8|36-38,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0559,HJ200044-20200112-1,1,31168,43,2020-01-12
West|8|36-38,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,42,OQ297694.1,Env_0561,HJ200046-20200112-1,1,31168,1621,2020-01-12
West|8|36-38,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,3,OQ297694.1,Env_0562,HJ200047-20200112-1,1,31168,129,2020-01-12
West|8|36-38,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,46,OQ297694.1,Env_0563,HJ200048-20200112-1,1,31168,1672,2020-01-12
West|8|36-38,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,2,OQ297694.1,Env_0565,HJ200050-20200112-1,1,31168,86,2020-01-12
West|8|37,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0567,HJ200052-20200112-1,1,31168,43,2020-01-12
West|8|37,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0575,HJ200060-20200112-1,1,31168,43,2020-01-12
West|6|29-31-33,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,272,OQ297694.1,Env_0577,HJ200062-20200112-1,1,31168,8478,2020-01-12
West|6|29-31-33,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,6,OQ297694.1,Env_0578,HJ200063-20200112-1,1,31168,258,2020-01-12
West|6|29-31-33,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,578,OQ297694.1,Env_0580,HJ200065-20200112-1,1,31168,13278,2020-01-12
West|6|29-31-33,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,6,OQ297694.1,Env_0581,HJ200066-20200112-1,1,31168,258,2020-01-12
West|6|29-31-33,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,305,OQ297694.1,Env_0576,Q61,1,31168,9588,2020-01-12
West|6|29-31-33,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,35,OQ297694.1,Env_0579,Q64,1,31168,1161,2020-01-12
West|6|29-31-33,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,18,OQ297694.1,Env_0583,Q68,1,31168,700,2020-01-12
West|6|29-31-33,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,30,OQ297694.1,Env_0584,Q69,1,31168,1173,2020-01-12
West|6|29-31-33,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,48,OQ297694.1,Env_0585,Q70,1,31168,1621,2020-01-12
West|6|29-33_drain,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0828,w-6-29-33,1,31168,174,2020-02-15
West|1|SwO,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,1,OQ297694.1,Env_0830,wws-1#-0,1,31168,141,2020-02-15
West|1|SwO,1,"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus,Bamboo rat coronavirus,Mammal,2,OQ297694.1,Env_0817,WWS-1#-2,1,31168,279,2020-02-15
East|1|SwO,1,"NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete genome",Betacoronavirus HKU24,Betacoronavirus HKU24,Mammal,3,NC_026011.1,Env_0815,EWS-3#-2,1,31249,279,2020-02-15
West|6|29-31-33,1,"NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete genome",Betacoronavirus HKU24,Betacoronavirus HKU24,Mammal,1,NC_026011.1,Env_0579,Q64,1,31249,43,2020-01-12
West|13|SwO,1,"NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete genome",Betacoronavirus HKU24,Betacoronavirus HKU24,Mammal,1,NC_026011.1,Env_0746,WS-2-1,1,31249,93,2020-02-05
East|1|SwO,1,"NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete genome",Betacoronavirus HKU24,Betacoronavirus HKU24,Mammal,1,NC_026011.1,Env_0751,WS-4-1,1,31249,93,2020-02-05
West|1|SwO,1,"NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete genome",Betacoronavirus HKU24,Betacoronavirus HKU24,Mammal,13,NC_026011.1,Env_0830,wws-1#-0,1,31249,851,2020-02-15
West|1|SwO,1,"NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete genome",Betacoronavirus HKU24,Betacoronavirus HKU24,Mammal,12,NC_026011.1,Env_0817,WWS-1#-2,1,31249,1043,2020-02-15
